,name,products,completed_orders,ships_from
97,bigpharmaswiss,[],0,[]
98,gernarc,['Weed'],0,['Germany']
99,Powermix,"['Weed', 'Cocaine']",30,['Germany']
100,cloudflare,['Cards & CVV'],0,[]
101,thehappybear,[],0,[]
102,Topboy,"['Benzos', 'Amphetamine', 'Weed', 'XTC Pills']",24,['United Kingdom']
103,shan,[],0,[]
104,LilyLotusUK,[],0,[]
105,terrysukstock,['Benzos'],6,['United Kingdom']
106,HigherGrade,[],0,[]
107,Psychedelica,"['Amphetamine', 'MDMA', 'XTC Pills', 'Ketamine', '2C', 'LSD', 'Methamphetamine', 'Cocaine']",30,[]
108,greenfox,"['Weed', 'Concentrates']",12,[]
109,tomandjerry,"['Heroin', 'Ketamine', 'Crack', 'MDMA', 'Cocaine', 'LSD']",150,['Netherlands']
110,Legendary,"['Fraud', 'Data & Scans', 'Other', 'Drugs', 'Hacking', 'Security', 'Security Software', 'E-Books']",101,[]
111,KeepItFresh,[],0,[]
112,ExpressDrugs,[],0,[]
113,gonzale5,"['Amphetamine', 'Weed']",6,['United Kingdom']
114,HotShop,"['Drugs', 'Fraud', 'Fake IDs', 'Security', 'E-Books', 'Services', 'Socks', 'Hacking']",59,[]
115,moowmoow,['Mushrooms'],3,['Albania']
116,trazy15,"['Opium', 'Methadone', 'Adderal', 'Hydrocodone', 'Other', 'Oxycodone']",20,['United States']
117,timmy622,['Cocaine'],8,['United Kingdom']
118,blacknoir,"['Ketamine', 'Methamphetamine', 'GHB']",0,['United States']
119,AAquality,[],0,[]
120,rabbithole,['Mushrooms'],0,['Canada']
121,tig3r,"['Ketamine', 'Weed']",30,['United Kingdom']
122,Syndikat,['Heroin'],1,['Germany']
123,memo657,"['Crack', 'Cocaine']",0,['United States']
124,tereifer,['Weed'],0,['Spain']
125,TulipNL,"['LSD', 'XTC Pills']",3,['Netherlands']
126,GreenLeafDE,"['Weed', 'Amphetamine']",291,['Germany']
127,merchantlabs,"['Databases', 'Socks', 'Hosting']",0,[]
128,Sakari,['Weed'],1,['Finland']
129,ROZZBY,"['Ketamine', 'Oxycodone', 'Stimulants', 'Money', 'Cocaine', 'Heroin', 'Other']",2,['United States']
130,benzodiazepine,[],0,[]
131,UberShop,"['Edibles', 'Weed', 'Hash', 'Stimulants']",43,['United Kingdom']
132,Panacea05,['Stimulants'],2,['United States']
133,DrunkNinja,"['Other', 'Fraud', 'Malware', 'Crypters', 'Hacking', 'Botnets']",583,[]
134,TheGrandWizard,[],4,[]
135,gblSupply,"['Other', 'GBL', 'Benzos']",39,['Germany']
136,Profiron,[],0,[]
137,blackmanba1fe,['Other'],11,['France']
138,DrugzFromNL,[],0,[]
139,Prolific,"['Weed', 'Adderal', 'Personal Info']",0,['United Kingdom']
140,rxsub,[],0,[]
141,WeedWitch2020,[],0,[]
142,speedygonzalez,[],0,[]
143,LucyShop,[],0,[]
144,Skyscraper,[],0,[]
145,savesballstore,['Cocaine'],11,['United States']
146,winterdreamer,[],0,[]
147,mushmedic,[],0,[]
148,datakali,['Personal Info'],347,[]
149,scrypto1123,"['Heroin', 'Methamphetamine', 'Other']",18,['United States']
150,narcofacemask,[],0,[]
151,Lemmonflavor,['Edibles'],0,['United States']
152,Odessy007,['Oxycodone'],4,['United States']
153,TheSpecialist,['Hacking'],0,[]
154,private1506,[],0,[]
155,Insta,['Cocaine'],17,['United States']
156,ConnectPL,[],0,[]
157,budz,['Weed'],0,[]
158,TheOxyMen,"['GHB', 'Codeine', 'Relaxants', 'Mushrooms', 'LSD', 'Ketamine', 'Oxycodone', 'Cocaine', 'Other', 'Stimulants', 'Methamphetamine', 'Benzos', 'GBL', 'XTC Pills']",16,['United Kingdom']
159,DrugzDealerNRW,"['Methamphetamine', 'Cocaine']",13,['Germany']
160,procarder2,"['Cards & CVV', 'Fraud', 'Rats', 'Accounts & Drops']",42,[]
161,greatwhite,[],0,[]
162,WizardofOZs,[],0,[]
163,darkapo,['Adderal'],4,['Germany']
164,Godelicious,"['Cocaine', 'MDMA', 'LSD', 'XTC Pills']",7,['Germany']
165,RanjidPanjid,['Fraud'],21,[]
166,Wonderman,[],0,[]
167,DopeSeller,"['LSD', 'MDMA', 'Cocaine', 'Ketamine', '2C']",39,['Netherlands']
168,amazingstore77,"['Adderal', 'Money', 'Services', 'Weed', 'Benzos', 'Fraud', 'Stimulants', 'Oxycodone', 'Cocaine', 'LSD', 'Concentrates']",0,['United States']
169,cjack8102,[],0,[]
170,fungifunguy,[],0,[]
171,LaFamilia55,"['Weed', 'Hash']",8,['Spain']
172,digitalxshop,"['Other', 'Malware', 'Exploits', 'E-Books', 'Data & Scans', 'Software Keys', 'Exploit Kits', 'Crypters', 'Botnets', 'Hacking']",36,[]
173,SPTRLTD,"['Cards & CVV', 'Fake IDs', 'Other', 'Tobacco', 'Hacking', 'Botnets', 'Miscellaneous', 'Cocaine', 'Fraud']",14,"['United Kingdom', 'Thailand']"
174,GomerPyle,[],0,[]
175,prodigy,[],0,[]
176,deller,['Cards & CVV'],97,[]
177,TorDrug,"['Stimulants', 'Weed', 'Hash']",16,['France']
178,TheRussianHack,['Software Keys'],0,[]
179,TheShroomRoom,['Mushrooms'],0,['United States']
180,drhack3r,[],0,[]
181,Drugeroo,"['Benzos', 'Weed', 'Drugs']",28,['United Kingdom']
182,thetrueacid,[],0,[]
183,WhiteEnigma,"['Hacking', 'Botnets', 'Accounts & Drops', 'Malware']",0,[]
184,chucksman92,"['2C', 'Cocaine', 'Ketamine', 'Benzos', 'Money', 'Hacking', 'Weed', 'Cards & CVV', 'Methadone', 'Hydrocodone', 'Fake IDs', 'Hash', 'Stimulants', 'XTC Pills', '5-MeO', 'Jewelry & Gold', 'Heroin', 'Steroids', 'Codeine', 'Services']",0,['Germany']
185,HoneyPotFarms,[],0,[]
186,ganjahero,"['Weed', 'Concentrates']",27,['United States']
187,Martell,"['Cocaine', 'Weed']",35,['United Kingdom']
188,HoldmyHand,"['Opium', 'Methadone', 'Adderal', 'Hydrocodone', 'Oxycodone', 'Stimulants', 'Morphine']",35,['United States']
189,auscardking,['Accounts & Drops'],0,[]
190,azactive,[],0,[]
191,DreamWeaver,"['Amphetamine', 'Weed']",8,['United Kingdom']
192,Arbeitsamt,[],0,[]
193,Frenchquality,"['Heroin', 'Cocaine', 'Benzos', 'Methadone', 'Relaxants']",3,['France']
194,addystarr,"['Stimulants', 'Other']",0,['United States']
195,DBProvider,['Personal Info'],0,[]
196,JOYinc,"['MDMA', 'Methamphetamine', 'Cocaine']",2,['United States']
197,topmoneymaker,[],0,[]
198,ukpharma,[],0,[]
199,monkeyforty7,[],0,[]
200,Copek,"['MDMA', 'Weed', 'Hash', 'Cocaine']",0,['France']
201,CCARDTEL,[],3,[]
202,partygirlinc,"['Benzos', 'MDMA', 'Stimulants']",27,['United States']
203,lloydspharma,"['Oxycodone', 'Heroin', 'Opium', 'Stimulants', 'Amphetamine', 'Weed']",31,['United Kingdom']
204,blackmagicplc,['Cocaine'],9,['United Kingdom']
205,superweedsonic,[],0,[]
206,high361,[],0,[]
207,FrancExsta,"['Amphetamine', 'MDMA', 'Ketamine', 'XTC Pills']",0,['France']
208,aztrakarda,['Data & Scans'],0,[]
209,auspharma,[],0,[]
210,Borderless,"['Edibles', 'Concentrates', 'Weed', 'Hash', 'Benzos']",1,['United Kingdom']
211,MyNarcotics,[],0,[]
212,samsungman,"['Accounts & Drops', 'Miscellaneous', 'Services', 'Clothing', 'Hosting', 'Money', 'Fake IDs']",0,['United States']
213,expectus,[],0,[]
214,Wilsonmeths,"['Benzos', 'XTC Pills']",0,[]
215,psychonaut999,['Oxycodone'],0,['United Kingdom']
216,Weedpost,['Weed'],0,['Germany']
217,Xanking,[],0,[]
218,starwars,"['Accounts', 'Fraud']",3,[]
219,mrsnowbaby,"['Weed', 'Benzos', 'Codeine']",19,['France']
220,elephantcastle,"['RCs', 'Benzos', 'Amphetamine', 'Adderal']",9,['United Kingdom']
221,staubitz99,[],0,[]
222,empathogene,[],0,[]
223,HeartKidnapper,"['Cards & CVV', 'Hacking', 'Fraud']",231,[]
224,HappyShopOrigi,"['Leaks', 'Hacking', 'Rats', 'Electronics', 'Clothing', 'Accounts & Drops', 'Cards & CVV', 'Dumps', 'Miscellaneous', 'Other']",232,[]
225,Corleones,[],0,[]
226,YourDealer,['Weed'],0,['Germany']
227,PSteroids,['Steroids'],0,[]
228,sexyhomer,['Jewelry & Gold'],0,['China']
229,amaweed,['Weed'],6,['France']
230,TheMasterKey,[],0,[]
231,lutonlu,"['Accounts', 'Jewelry & Gold']",26,['Estonia']
232,CafeNero,"['Mushrooms', 'Methamphetamine', 'Stimulants', 'Oxycodone', 'Cocaine', 'Benzos', 'Heroin Black Tar', 'Adderal', 'Heroin', 'MDMA', 'Ketamine', 'LSD', 'Weed']",108,"['United States', 'United Kingdom']"
233,WasntMe,[],0,[]
234,craigman,['Benzos'],11,['United States']
235,naberya56,[],0,[]
